Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	BW 50% (Hz)	Avg Entropy (bits)	Center Freq (Hz)	High Freq (Hz)	Avg Power Density (dB/Hz)	Trial
1	Waveform 1	1	67.4995104	67.9583333	0.4588	0.0	21000.00	6.445	24103.80	96000.0	33.01	1
2	Waveform 1	2	68.4319687	68.8334271	0.4015	0.0	17250.00	6.559	26994.61	96000.0	43.13	1.2
3	Waveform 1	1	98.5551875	99.2842187	0.7290	0.0	12000.00	5.619	24609.94	96000.0	34.79	2
4	Waveform 1	1	99.8380104	99.9065104	0.0685	0.0	4875.00	5.399	11719.18	96000.0	41.34	2.2
5	Waveform 1	1	133.7093958	133.8767135	0.1673	0.0	25500.00	6.095	37221.51	96000.0	37.96	3
6	Waveform 1	1	133.8869531	134.0349479	0.1480	0.0	40500.00	5.978	35798.58	96000.0	36.12	3.2
7	Waveform 1	1	134.1781927	134.4694271	0.2912	0.0	7875.00	5.631	13938.30	96000.0	29.61	3.3
8	Waveform 1	1	134.7936458	135.1571979	0.3636	0.0	27750.00	6.257	32801.50	96000.0	40.17	3.4
9	Waveform 1	1	135.3043438	135.8948438	0.5905	0.0	16500.00	5.891	21328.07	96000.0	37.93	3.5
10	Waveform 1	2	162.1059219	162.6951667	0.5892	0.0	15750.00	6.420	21106.66	96000.0	35.02	4
11	Waveform 1	2	163.0773438	163.7553281	0.6780	0.0	17625.00	6.169	22154.09	96000.0	36.26	4.2
12	Waveform 1	2	164.2091927	164.3211823	0.1120	0.0	16125.00	6.099	20516.08	96000.0	40.15	4.3
13	Waveform 1	2	164.3564740	164.4878125	0.1313	0.0	19500.00	6.703	26532.10	96000.0	39.02	4.4
14	Waveform 1	1	193.0138542	193.9905573	0.9767	0.0	6000.00	5.196	12860.02	96000.0	34.07	5
15	Waveform 1	2	218.0436250	218.3997292	0.3561	0.0	11625.00	5.843	19279.50	96000.0	33.45	6
16	Waveform 1	1	219.1762604	219.9278958	0.7516	0.0	37500.00	5.526	30321.26	96000.0	33.63	6.2
17	Waveform 1	1	243.4485833	243.7422656	0.2937	0.0	1125.00	6.484	4903.35	96000.0	44.11	7
18	Waveform 1	2	245.1835573	245.5815365	0.3980	0.0	17250.00	6.388	25033.52	96000.0	35.57	7.2
19	Waveform 1	2	267.1360000	267.7209687	0.5850	0.0	11250.00	6.134	23855.92	96000.0	39.95	8
20	Waveform 1	2	269.7079271	269.8725260	0.1646	0.0	25125.00	6.987	32660.94	96000.0	41.25	8.2
21	Waveform 1	2	271.2688594	271.5208802	0.2520	0.0	20625.00	6.562	29981.96	96000.0	43.21	8.3
22	Waveform 1	2	290.2094635	290.6759063	0.4664	0.0	12000.00	6.188	19691.96	96000.0	35.99	9
23	Waveform 1	2	290.9759167	291.7337396	0.7578	0.0	22875.00	6.586	30669.16	96000.0	38.52	9.2
24	Waveform 1	2	323.5563750	323.8096823	0.2533	0.0	17625.00	5.637	21046.20	96000.0	35.94	10
25	Waveform 1	2	324.1809375	324.6625104	0.4816	0.0	5250.00	5.159	18636.43	96000.0	37.21	10.2
26	Waveform 1	2	325.7171667	326.1051562	0.3880	0.0	9750.00	5.641	19157.57	96000.0	42.30	10.3
27	Waveform 1	1	347.5052135	347.5973958	0.0922	0.0	15375.00	5.999	18879.12	96000.0	30.29	11
28	Waveform 1	1	347.6567500	347.9345312	0.2778	0.0	15750.00	6.584	37422.34	96000.0	42.77	11.2
29	Waveform 1	1	348.4104167	348.9680990	0.5577	0.0	28125.00	6.893	32024.92	96000.0	39.68	11.3
30	Waveform 1	2	371.3658594	372.0333542	0.6675	0.0	36375.00	6.924	40006.27	96000.0	41.41	12
31	Waveform 1	2	372.8377187	373.2560729	0.4184	0.0	9375.00	5.954	18082.66	96000.0	44.04	12.2
32	Waveform 1	2	393.1190781	393.6609271	0.5418	0.0	17625.00	5.969	25120.59	96000.0	36.82	13
33	Waveform 1	2	394.2150417	394.5882500	0.3732	0.0	2625.00	4.871	17881.32	96000.0	40.07	13.2
34	Waveform 1	2	395.1437708	395.2331823	0.0894	0.0	7875.00	4.877	9961.60	96000.0	49.10	13.3
35	Waveform 1	2	417.2228854	417.6754896	0.4526	0.0	12000.00	5.870	17447.76	96000.0	38.92	14
36	Waveform 1	2	418.0655885	418.7759635	0.7104	0.0	6750.00	5.562	15366.09	96000.0	38.30	14.2
37	Waveform 1	2	419.2669375	419.3416250	0.0747	0.0	11250.00	5.700	15039.58	96000.0	45.13	14.3
38	Waveform 1	2	437.5532865	437.9126458	0.3594	0.0	7125.00	5.539	12101.07	96000.0	32.96	15
39	Waveform 1	1	439.3565104	440.1313385	0.7748	0.0	1125.00	5.483	8413.88	96000.0	40.32	15.2
40	Waveform 1	2	442.7807396	442.9762969	0.1956	0.0	2625.00	5.094	9641.46	96000.0	33.84	15.3
41	Waveform 1	2	443.3038750	443.5511615	0.2473	0.0	8250.00	5.919	16708.29	96000.0	35.70	15.4
42	Waveform 1	1	465.1638802	465.7966250	0.6327	0.0	23250.00	6.273	28390.59	96000.0	44.83	16
43	Waveform 1	2	492.0324219	492.4998333	0.4674	0.0	36000.00	6.738	41815.07	96000.0	44.47	17
44	Waveform 1	2	493.1832396	493.2635990	0.0804	0.0	16125.00	6.275	22854.71	96000.0	44.56	17.2
45	Waveform 1	1	526.7280885	527.3511615	0.6231	0.0	29625.00	6.705	31615.64	96000.0	43.19	18
46	Waveform 1	1	561.7934479	562.2453437	0.4519	0.0	19875.00	5.134	21852.36	96000.0	37.65	19
47	Waveform 1	1	562.6936094	563.0097552	0.3161	0.0	5625.00	4.847	10228.24	96000.0	36.44	19.2
48	Waveform 1	2	563.1316719	563.5237969	0.3921	0.0	18375.00	5.455	20939.72	96000.0	38.18	19.3
49	Waveform 1	2	564.2299219	564.6421146	0.4122	0.0	15000.00	5.741	21034.86	96000.0	34.75	19.4
50	Waveform 1	2	565.3867031	565.4489740	0.0623	0.0	4500.00	5.222	14177.67	96000.0	37.08	19.5
51	Waveform 1	1	593.5476771	594.3825208	0.8348	0.0	14625.00	6.208	21052.01	96000.0	39.07	20
52	Waveform 1	1	595.1264531	595.1808698	0.0544	0.0	18750.00	6.437	21474.52	96000.0	37.16	20.2
53	Waveform 1	1	631.6749062	631.8240990	0.1492	0.0	17625.00	5.629	30124.11	96000.0	42.66	21
54	Waveform 1	1	633.8849167	634.7739427	0.8890	0.0	7875.00	5.629	14045.63	96000.0	36.65	21.2
55	Waveform 1	1	679.5082760	679.7301719	0.2219	0.0	17625.00	5.707	23133.20	96000.0	39.56	22
56	Waveform 1	1	679.8955729	680.8718594	0.9763	0.0	17625.00	6.035	21940.23	96000.0	40.62	22.2
57	Waveform 1	2	684.3167135	684.4572448	0.1405	0.0	25875.00	6.002	25226.43	96000.0	36.81	22.3
58	Waveform 1	1	714.3948490	715.1269792	0.7321	0.0	4125.00	5.394	12039.83	96000.0	29.75	23
59	Waveform 1	1	716.4487865	717.1506146	0.7018	0.0	20625.00	6.566	27457.96	96000.0	41.38	23.2
60	Waveform 1	2	746.7212604	747.6753750	0.9541	0.0	12375.00	5.769	14914.34	96000.0	34.65	24
61	Waveform 1	1	750.3816979	750.5062708	0.1246	0.0	12750.00	6.190	17429.02	96000.0	37.32	24.2
62	Waveform 1	1	782.0154271	783.0193490	1.0039	0.0	13500.00	5.740	15801.55	96000.0	36.75	25
63	Waveform 1	2	783.7813229	784.7419583	0.9606	0.0	18750.00	6.070	21847.37	96000.0	37.64	25.2
64	Waveform 1	2	826.1524479	827.1480885	0.9956	0.0	39000.00	6.990	41603.42	96000.0	39.24	26
65	Waveform 1	1	870.0758958	870.2110052	0.1351	0.0	6750.00	5.213	9226.58	96000.0	39.02	27
66	Waveform 1	1	871.6289375	872.6449115	1.0160	0.0	12375.00	6.447	20564.28	96000.0	41.89	27.2
67	Waveform 1	1	902.4344844	903.3919375	0.9575	0.0	11625.00	6.390	20939.96	96000.0	40.47	28
68	Waveform 1	2	931.0024844	931.5173646	0.5149	0.0	27750.00	6.382	29797.20	96000.0	43.90	29
69	Waveform 1	2	932.8775208	933.3632292	0.4857	0.0	24750.00	6.858	30827.28	96000.0	42.57	29.2
